Title,Year,Rated,Runtime,Genre,Director,Actors,Plot,Language,Country,Poster,imdbRating,Type
Meteor,1979,PG,108 min,"Action, Drama, Sci-Fi",Ronald Neame,"Sean Connery, Natalie Wood, Karl Malden",The U.S. must join forces with the U.S.S.R. in order to destroy a gigantic asteroid heading straight for Earth.,"English, Russian","United States, Hong Kong",https://m.media-amazon.com/images/M/MV5BOTI0NmIzZmEtZTVmYS00N2I4LWFkZGMtNDZmMGE2ZmY5NzE3XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,5.0,movie
Ruthless,1948,Passed,104 min,"Drama, Film-Noir, Romance",Edgar G. Ulmer,"Zachary Scott, Louis Hayward, Diana Lynn","A poor boy who saved a rich girl from drowning is adopted by her family, but he grows into a money-hungry ruthless businessman who would step on others to get to the top of the social ladder.",English,United States,https://m.media-amazon.com/images/M/MV5BMDYyN2FlYWYtZjA2NS00ZTMyLThjNjgtMGM4YWU1YWI0MDA3XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,6.8,movie
Godzilla x Kong: The New Empire,2024,PG-13,N/A,"Action, Adventure, Sci-Fi",Adam Wingard,"Rebecca Hall, Dan Stevens, Rachel House","Two ancient titans, Godzilla and Kong, clash in an epic battle as humans unravel their intertwined origins and connection to Skull Island's mysteries.",English,United States,https://m.media-amazon.com/images/M/MV5BN2VjZmI4NTctMmVjMy00NTc0LWE1YzAtMTE0MTg1ZDY2NmQyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,N/A,movie
Death Alley,2021,N/A,94 min,"Biography, History, Western",Nicholas Barton,"Ryan T. Johnson, Joshua R. Outzen, Julia Grace Anderson","In 1892, the Dalton Gang set out to become the most famous outlaws in America. That dream would become a nightmare.",English,United States,https://m.media-amazon.com/images/M/MV5BZWZjZmY0MGUtMzExOC00ZTZjLTgyMzItZTMyODgxZGM1M2Y5XkEyXkFqcGdeQXVyMzM3MTYyNTE@._V1_SX300.jpg,3.4,movie
The Marvels,2023,PG-13,105 min,"Action, Adventure, Fantasy",Nia DaCosta,"Brie Larson, Teyonah Parris, Iman Vellani","Carol Danvers gets her powers entangled with those of Kamala Khan and Monica Rambeau, forcing them to work together to save the universe.","English, Urdu",United States,https://m.media-amazon.com/images/M/MV5BM2U2YWU5NWMtOGI2Ni00MGMwLWFkNjItMjgyZWMxNjllNTMzXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,5.6,movie
Red Right Hand,2022,Not Rated,74 min,"Horror, Mystery, Thriller","Matthew Schuff, Jake Tyler","Jake Tyler, Maya Krieger, Blake Early",A wave of murders by the infamous Ghostface strikes the quiet college town of Windsor for the first time in over 20 years. A pair of amateur filmmakers-turned-killers come face to face with a threat greater than even themselves.,English,United States,https://m.media-amazon.com/images/M/MV5BNWQyNjRmYmItN2QyZi00Y2JkLTkzNGEtZWE0ODFjMDdjMzk2XkEyXkFqcGdeQXVyMTQ5NTI2NzQx._V1_SX300.jpg,N/A,movie
Wish,2023,PG,95 min,"Animation, Adventure, Comedy","Chris Buck, Fawn Veerasunthorn","Ariana DeBose, Chris Pine, Alan Tudyk",A young girl named Asha wishes on a star and gets a more direct answer than she bargained for when a trouble-making star comes down from the sky to join her.,English,United States,https://m.media-amazon.com/images/M/MV5BYWQ4M2ZmODItNzZhYi00MzY1LTk2ZmItYTUwODI2NzJmN2JiXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,5.6,movie
SKAL - FIGHT FOR SURVIVAL,2023,N/A,77 min,Thriller,Benjamin Cappelletti,"Darren Eisenhauer, Trevor Hayes, Mariah Inger",A massive Internet celebrity throws a party for hitting 3 million subscribers. An apocalypse abruptly ends the festivities and forces him into an epic struggle to stay alive.,English,Canada,https://m.media-amazon.com/images/M/MV5BNDI5OWIxZTctOGYwYi00MzAwLWJlYjEtYzdlYmE2YWI0MjgwXkEyXkFqcGdeQXVyMTY1NDQ5ODA@._V1_SX300.jpg,N/A,movie
Spaceman,2016,R,90 min,"Comedy, Drama",Brett Rapkin,"Josh Duhamel, W. Earl Brown, Ernie Hudson",Story of former MLB pitcher Bill 'Spaceman' Lee following his release by the Montreal Expos.,English,United States,https://m.media-amazon.com/images/M/MV5BMjk1MTVkOTgtOTkwMy00OTE3LWFjNWItM2JkOWRiZjkwNWQxXkEyXkFqcGdeQXVyMjQ3NzUxOTM@._V1_SX300.jpg,5.3,movie
The Beekeeper,2024,R,105 min,"Action, Thriller",David Ayer,"Jason Statham, Emmy Raver-Lampman, Bobby Naderi","One man's brutal campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as ""Beekeepers"".",English,"United States, United Kingdom",https://m.media-amazon.com/images/M/MV5BZjQwYjU3OTYtMWVhMi00N2Y2LWEzMDgtMzViN2U4NWI1NmI3XkEyXkFqcGdeQXVyODk2NDQ3MTA@._V1_SX300.jpg,6.4,movie
